Adresse;Bezirk;WBezArt;Wahlbezirk;AghWkr;StimmArt;OstWest;WberIns;Waehler;Waehlerp;Gueltig;Gueltigp;Unguelt;Ungueltp;P01;P01p;P02;P02p;P03;P03p;P04;P04p;P05;P05p;P06;P06p;P07;P07p;P08;P08p;P09;P09p;P10;P10p;P11;P11p;P12;P12p;P13;P13p;P14;P14p;P15;P15p;P16;P16p;P17;P17p;P18;P18p;P19;P19p;P20;P20p;P21;P21p;P22;P22p;P23;P23p;P24;P24p;P25;P25p;P26;P26p;P27;P27p;P28;P28p;P29;P29p;P30;P30p;P31;P31p;P32;P32p;P33;P33p;P34;P34p;P35;P35p;P36;P36p;P37;P37p;P38;P38p;P39;P39p;P40;P40p;P41;P41p;P42;P42p
05W422;05;W;422;04;2;W;1226;442;36,1;430;97,3;12;2,7;147;34,2;111;25,8;38;8,8;16;3,7;6;1,4;34;7,9;7;1,6;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,5;0;0,0;8;1,9;0;0,0;13;3,0;2;0,5;0;0,0;0;0,0;2;0,5;0;0,0;0;0,0;0;0,0;0;0,0;44;10,2;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W423;05;W;423;04;2;W;984;424;43,1;412;97,2;12;2,8;132;32,0;172;41,7;33;8,0;9;2,2;8;1,9;8;1,9;5;1,2;0;0,0;0;0,0;1;0,2;0;0,0;0;0,0;3;0,7;0;0,0;3;0,7;0;0,0;0;0,0;8;1,9;0;0,0;1;0,2;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;28;6,8;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W424;05;W;424;04;2;W;1023;425;41,5;416;97,9;9;2,1;140;33,7;143;34,4;48;11,5;25;6,0;2;0,5;4;1,0;5;1,2;0;0,0;1;0,2;0;0,0;1;0,2;0;0,0;1;0,2;0;0,0;0;0,0;0;0,0;6;1,4;0;0,0;0;0,0;0;0,0;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;39;9,4;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W425;05;W;425;04;2;W;1227;644;52,5;635;98,9;7;1,1;219;34,5;214;33,7;76;12,0;17;2,7;14;2,2;14;2,2;11;1,7;0;0,0;0;0,0;1;0,2;1;0,2;0;0,0;4;0,6;0;0,0;4;0,6;0;0,0;7;1,1;7;1,1;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;46;7,2;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W426;05;W;426;04;2;W;1092;581;53,2;568;97,8;13;2,2;171;30,1;197;34,7;60;10,6;34;6,0;12;2,1;7;1,2;9;1,6;0;0,0;0;0,0;1;0,2;0;0,0;0;0,0;1;0,2;0;0,0;2;0,4;0;0,0;13;2,3;8;1,4;2;0,4;0;0,0;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;50;8,8;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W427;05;W;427;04;2;W;953;343;36,0;339;98,8;4;1,2;117;34,5;98;28,9;34;10,0;17;5,0;8;2,4;10;2,9;5;1,5;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,6;0;0,0;2;0,6;0;0,0;11;3,2;2;0,6;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;33;9,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W428;05;W;428;04;2;W;1137;608;53,5;597;98,4;10;1,6;234;39,2;191;32,0;53;8,9;18;3,0;5;0,8;12;2,0;12;2,0;0;0,0;2;0,3;0;0,0;0;0,0;0;0,0;4;0,7;0;0,0;1;0,2;0;0,0;6;1,0;5;0,8;1;0,2;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;52;8,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W429;05;W;429;04;2;W;966;480;49,7;472;98,3;8;1,7;147;31,1;149;31,6;63;13,3;15;3,2;16;3,4;18;3,8;4;0,8;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,8;0;0,0;0;0,0;0;0,0;6;1,3;6;1,3;0;0,0;0;0,0;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;43;9,1;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W430;05;W;430;04;2;W;1023;493;48,2;487;98,8;6;1,2;154;31,6;159;32,6;46;9,4;38;7,8;10;2,1;12;2,5;8;1,6;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,4;0;0,0;5;1,0;0;0,0;6;1,2;7;1,4;1;0,2;0;0,0;2;0,4;0;0,0;0;0,0;0;0,0;0;0,0;37;7,6;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W431;05;W;431;04;2;W;1077;556;51,6;554;99,6;2;0,4;151;27,3;192;34,7;97;17,5;30;5,4;13;2,3;6;1,1;3;0,5;0;0,0;1;0,2;1;0,2;0;0,0;0;0,0;5;0,9;0;0,0;3;0,5;0;0,0;9;1,6;6;1,1;0;0,0;2;0,4;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;34;6,1;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
